C/1998 K2   1A   2.323   64.5  +0.000535  +0.000296  +0.001247
C/1998 K5   1A   0.964    9.9  +0.013910  +0.013809  +0.015537
C/1998 M1   1B   3.118   20.4  +0.002251  +0.002340  +0.002905
C/1998 M2   1B   2.725   60.2  +0.001228  +0.000829  +0.001875
C/1998 M3   1A   5.768  113.4  +0.000147  -0.000383  +0.000207
C/1998 M5   1A   1.742   82.2  +0.000516  +0.002275  +0.002616
C/1998 M6   1B   5.979   91.5  +0.001029  +0.000168  +0.000775
C/1998 Q1   2A   1.578   32.3  +0.003006  +0.002880  +0.004437
C/1998 T1   1A   1.468  170.2  +0.000561  +0.000616  +0.001460
C/1998 U1   2B   3.975  156.4  +0.000478  -0.000131  +0.001260
C/1998 U5   1A   1.236  131.8  +0.010054  +0.009725  +0.009751
C/1998 W3   2A   4.915  129.2  +0.000176  -0.000327  -0.000007
C/1999 A1   2B   0.731   89.5  +0.006186  +0.005551  +0.005422
C/1999 F1   2A   5.780   92.0  +0.000062  +0.000223  +0.000056
C/1999 F2   1B   4.719   56.4  +0.000057  +0.000300  +0.000361
C/1999 H3   2A   3.501  115.8  +0.000130  -0.000741  +0.000056
C/1999 K2   2A   5.289   82.2  +0.007032  +0.006595  +0.007219
C/1999 K3   2B   1.929   92.3  +0.004162  +0.004278  +0.004954
C/1999 K6   2A   2.247   46.3  +0.002801  +0.002827  +0.002713
C/1999 L2   2B   1.905   43.9  +0.002212  +0.002547  +0.003215
